2011-03-10T00:01:00+09:00,6.3,88,6.4,false,15.3,false,0.4,false
2011-03-10T00:02:00+09:00,6.3,88,6.4,false,15.3,false,0.3,false
2011-03-10T00:03:00+09:00,6.3,88,6.5,false,15.2,false,0.3,false
2011-03-10T00:04:00+09:00,6.3,88,6.5,false,15.2,false,0.4,false
2011-03-10T00:05:00+09:00,6.4,88,6.5,false,15.2,false,0.5,false
2011-03-10T00:06:00+09:00,6.4,89,6.5,false,15.2,false,0.5,false
2011-03-10T00:07:00+09:00,6.4,89,6.5,false,15.2,false,0.6,false
2011-03-10T00:08:00+09:00,6.4,89,6.5,false,15.0,false,0.5,false
2011-03-10T00:09:00+09:00,6.4,89,6.5,false,15.0,false,0.5,false
2011-03-10T00:10:00+09:00,6.4,89,6.5,false,15.0,false,0.8,false
2011-03-10T00:11:00+09:00,6.4,89,6.5,false,15.0,false,0.8,false
2011-03-10T00:12:00+09:00,6.5,89,6.5,false,15.0,false,0.9,false
2011-03-10T00:13:00+09:00,6.5,89,6.5,false,15.0,false,0.9,false
2011-03-10T00:14:00+09:00,6.5,89,6.5,false,15.1,false,0.8,false
2011-03-10T00:15:00+09:00,6.5,89,6.5,false,15.2,false,0.8,false
2011-03-10T00:16:00+09:00,6.5,89,6.5,false,15.2,false,0.9,false
2011-03-10T00:17:00+09:00,6.5,89,6.6,false,15.2,false,0.9,false
2011-03-10T00:18:00+09:00,6.5,89,6.6,false,15.2,false,0.8,false
2011-03-10T00:19:00+09:00,6.5,89,6.6,false,15.2,false,0.6,false
2011-03-10T00:20:00+09:00,6.5,89,6.6,false,15.3,false,0.5,false
2011-03-10T00:21:00+09:00,6.6,89,6.6,false,15.3,false,0.5,false
2011-03-10T00:22:00+09:00,6.6,89,6.6,false,15.4,false,0.5,false
2011-03-10T00:23:00+09:00,6.6,89,6.6,false,15.4,false,0.6,false
2011-03-10T00:24:00+09:00,6.6,89,6.6,false,15.5,false,0.5,false
2011-03-10T00:25:00+09:00,6.6,89,6.6,false,15.5,false,0.5,false
2011-03-10T00:26:00+09:00,6.7,89,6.6,false,15.6,false,0.6,false
2011-03-10T00:27:00+09:00,6.7,89,6.6,false,15.6,false,0.5,false
2011-03-10T00:28:00+09:00,6.7,89,6.6,false,15.7,false,0.6,false
2011-03-10T00:29:00+09:00,6.7,89,6.6,false,15.7,false,0.6,false
2011-03-10T00:30:00+09:00,6.8,89,6.6,false,15.7,false,0.4,false
2011-03-10T00:31:00+09:00,6.8,89,6.6,false,15.8,false,0.1,false
2011-03-10T00:32:00+09:00,6.8,89,6.6,false,15.9,false,0.0,false
2011-03-10T00:33:00+09:00,6.8,89,6.6,false,15.9,false,0.0,false
2011-03-10T00:34:00+09:00,6.8,89,6.6,false,16.0,false,0.0,false
2011-03-10T00:35:00+09:00,6.8,89,6.6,false,16.0,false,0.0,false
2011-03-10T00:36:00+09:00,6.8,89,6.6,false,16.1,false,0.0,false
2011-03-10T00:37:00+09:00,6.8,89,6.6,false,16.1,false,0.0,false
2011-03-10T00:38:00+09:00,6.8,89,6.6,false,16.2,false,0.0,false
2011-03-10T00:39:00+09:00,6.8,89,6.6,false,16.3,false,0.1,false
2011-03-10T00:40:00+09:00,6.8,89,6.6,false,16.3,false,0.1,false
2011-03-10T00:41:00+09:00,6.8,89,6.6,false,16.3,false,0.3,false
2011-03-10T00:42:00+09:00,6.8,89,6.6,false,16.3,false,0.4,false
2011-03-10T00:43:00+09:00,6.8,89,6.6,false,16.4,false,0.6,false
2011-03-10T00:44:00+09:00,6.8,89,6.6,false,16.4,false,0.7,false
2011-03-10T00:45:00+09:00,6.8,89,6.6,false,16.5,false,0.6,false
2011-03-10T00:46:00+09:00,6.9,89,6.6,false,16.6,false,0.5,false
2011-03-10T00:47:00+09:00,6.9,89,6.6,false,16.6,false,0.4,false
2011-03-10T00:48:00+09:00,7.0,89,6.6,false,16.6,false,0.4,false
2011-03-10T00:49:00+09:00,7.0,89,6.6,false,16.6,false,0.4,false
2011-03-10T00:50:00+09:00,7.0,89,6.6,false,16.6,false,0.5,false
2011-03-10T00:51:00+09:00,7.0,89,6.6,false,16.6,false,0.5,false
2011-03-10T00:52:00+09:00,7.0,89,6.6,false,16.6,false,0.5,false
2011-03-10T00:53:00+09:00,7.0,89,6.6,false,16.5,false,0.5,false
2011-03-10T00:54:00+09:00,7.0,89,6.6,false,16.5,false,0.4,false
2011-03-10T00:55:00+09:00,7.0,89,6.6,false,16.4,false,0.4,false
2011-03-10T00:56:00+09:00,7.0,89,6.7,false,16.4,false,0.5,false
2011-03-10T00:57:00+09:00,7.0,89,6.7,false,16.3,false,0.6,false
2011-03-10T00:58:00+09:00,7.0,89,6.7,false,16.3,false,0.5,false
2011-03-10T00:59:00+09:00,7.0,89,6.7,false,16.3,false,0.5,false
2011-03-10T01:00:00+09:00,7.0,89,6.7,false,16.3,false,0.4,false
2011-03-10T01:01:00+09:00,7.0,89,6.7,false,16.2,false,0.4,false
2011-03-10T01:02:00+09:00,7.0,89,6.7,false,16.2,false,0.5,false
2011-03-10T01:03:00+09:00,7.0,89,6.8,false,16.1,false,0.6,false
2011-03-10T01:04:00+09:00,7.0,89,6.8,false,16.0,false,0.6,false
2011-03-10T01:05:00+09:00,7.0,89,6.8,false,16.0,false,0.5,false
2011-03-10T01:06:00+09:00,7.0,89,6.8,false,15.9,false,0.6,false
2011-03-10T01:07:00+09:00,7.0,89,6.8,false,15.9,false,0.4,false
2011-03-10T01:08:00+09:00,7.0,89,6.8,false,15.9,false,0.4,false
2011-03-10T01:09:00+09:00,7.0,89,6.8,false,15.8,false,0.2,false
2011-03-10T01:10:00+09:00,7.0,89,6.8,false,15.7,false,0.3,false
2011-03-10T01:11:00+09:00,7.0,89,6.9,false,15.7,false,0.2,false
2011-03-10T01:12:00+09:00,7.0,89,6.9,false,15.7,false,0.2,false
2011-03-10T01:13:00+09:00,7.0,89,6.9,false,15.7,false,0.2,false
2011-03-10T01:14:00+09:00,7.0,89,6.9,false,15.6,false,0.2,false
2011-03-10T01:15:00+09:00,7.0,89,6.9,false,15.6,false,0.2,false
2011-03-10T01:16:00+09:00,6.9,89,6.9,false,15.5,false,0.3,false
2011-03-10T01:17:00+09:00,6.9,89,6.9,false,15.5,false,0.4,false
2011-03-10T01:18:00+09:00,6.9,89,6.9,false,15.5,false,0.4,false
2011-03-10T01:19:00+09:00,6.9,89,6.8,false,15.4,false,0.4,false
2011-03-10T01:20:00+09:00,6.9,89,6.8,false,15.4,false,0.4,false
2011-03-10T01:21:00+09:00,6.8,89,6.8,false,15.4,false,0.2,false
2011-03-10T01:22:00+09:00,6.8,90,6.8,false,15.3,false,0.2,false
2011-03-10T01:23:00+09:00,6.8,90,6.8,false,15.3,false,0.3,false
2011-03-10T01:24:00+09:00,6.8,90,6.8,false,15.2,false,0.2,false
2011-03-10T01:25:00+09:00,6.9,89,6.8,false,15.2,false,0.2,false
2011-03-10T01:26:00+09:00,6.8,90,6.8,false,15.2,false,0.2,false
2011-03-10T01:27:00+09:00,6.8,90,6.8,false,15.2,false,0.2,false
2011-03-10T01:28:00+09:00,6.8,90,6.8,false,15.2,false,0.2,false
2011-03-10T01:29:00+09:00,6.8,90,6.8,false,15.1,false,0.2,false
2011-03-10T01:30:00+09:00,6.8,90,6.8,false,15.0,false,0.3,false
2011-03-10T01:31:00+09:00,6.8,90,6.8,false,15.0,false,0.5,false
2011-03-10T01:32:00+09:00,6.8,90,6.8,false,15.0,false,0.6,false
2011-03-10T01:33:00+09:00,6.8,90,6.8,false,15.0,false,0.7,false
2011-03-10T01:34:00+09:00,6.8,90,6.8,false,15.0,false,0.7,false
2011-03-10T01:35:00+09:00,6.8,90,6.9,false,15.1,false,0.6,false
2011-03-10T01:36:00+09:00,6.8,90,6.9,false,15.1,false,0.6,false
2011-03-10T01:37:00+09:00,6.8,90,6.9,false,15.2,false,0.6,false
2011-03-10T01:38:00+09:00,6.8,90,6.9,false,15.2,false,0.8,false
2011-03-10T01:39:00+09:00,6.8,90,6.9,false,15.2,false,0.7,false
2011-03-10T01:40:00+09:00,6.8,90,6.9,false,15.2,false,0.6,false
2011-03-10T01:41:00+09:00,6.8,90,6.9,false,15.3,false,0.6,false
2011-03-10T01:42:00+09:00,6.8,90,6.9,false,15.3,false,0.6,false
2011-03-10T01:43:00+09:00,6.9,90,6.9,false,15.4,false,0.5,false
2011-03-10T01:44:00+09:00,6.9,90,6.9,false,15.4,false,0.5,false
2011-03-10T01:45:00+09:00,6.9,90,6.9,false,15.4,false,0.6,false
2011-03-10T01:46:00+09:00,7.0,90,6.9,false,15.5,false,0.7,false
2011-03-10T01:47:00+09:00,7.0,90,6.9,false,15.5,false,0.8,false
2011-03-10T01:48:00+09:00,7.0,90,6.9,false,15.6,false,0.8,false
2011-03-10T01:49:00+09:00,7.0,90,6.9,false,15.6,false,0.7,false
2011-03-10T01:50:00+09:00,7.0,90,6.9,false,15.7,false,0.6,false
2011-03-10T01:51:00+09:00,7.0,90,6.9,false,15.7,false,0.5,false
2011-03-10T01:52:00+09:00,7.0,90,6.9,false,15.8,false,0.6,false
2011-03-10T01:53:00+09:00,7.1,90,6.9,false,15.8,false,0.5,false
2011-03-10T01:54:00+09:00,7.1,90,6.9,false,15.9,false,0.5,false
2011-03-10T01:55:00+09:00,7.1,90,6.9,false,15.9,false,0.5,false
2011-03-10T01:56:00+09:00,7.1,90,6.9,false,16.0,false,0.6,false
2011-03-10T01:57:00+09:00,7.1,90,6.9,false,16.0,false,0.5,false
2011-03-10T01:58:00+09:00,7.1,90,6.9,false,16.1,false,0.4,false
2011-03-10T01:59:00+09:00,7.2,90,6.9,false,16.1,false,0.2,false
2011-03-10T02:00:00+09:00,7.2,90,6.9,false,16.2,false,0.3,false
2011-03-10T02:01:00+09:00,7.2,90,6.9,false,16.3,false,0.4,false
2011-03-10T02:02:00+09:00,7.2,90,6.9,false,16.3,false,0.3,false
2011-03-10T02:03:00+09:00,7.2,90,6.9,false,16.3,false,0.3,false
2011-03-10T02:04:00+09:00,7.2,90,6.9,false,16.3,false,0.2,false
2011-03-10T02:05:00+09:00,7.2,90,6.9,false,16.4,false,0.2,false
2011-03-10T02:06:00+09:00,7.2,90,6.9,false,16.5,false,0.3,false
2011-03-10T02:07:00+09:00,7.2,90,6.8,false,16.5,false,0.2,false
2011-03-10T02:08:00+09:00,7.2,90,6.9,false,16.6,false,0.3,false
2011-03-10T02:09:00+09:00,7.2,90,6.9,false,16.6,false,0.3,false
2011-03-10T02:10:00+09:00,7.2,90,6.9,false,16.6,false,0.3,false
2011-03-10T02:11:00+09:00,7.2,90,6.9,false,16.6,false,0.3,false
2011-03-10T02:12:00+09:00,7.2,90,6.9,false,16.6,false,0.4,false
2011-03-10T02:13:00+09:00,7.2,90,6.9,false,16.5,false,0.4,false
2011-03-10T02:14:00+09:00,7.2,90,6.9,false,16.5,false,0.4,false
2011-03-10T02:15:00+09:00,7.3,90,6.9,false,16.4,false,0.4,false
2011-03-10T02:16:00+09:00,7.3,90,6.9,false,16.4,false,0.4,false
2011-03-10T02:17:00+09:00,7.3,90,6.9,false,16.3,false,0.4,false
2011-03-10T02:18:00+09:00,7.3,90,6.9,false,16.3,false,0.3,false
2011-03-10T02:19:00+09:00,7.3,90,6.9,false,16.3,false,0.2,false
2011-03-10T02:20:00+09:00,7.3,90,6.9,false,16.3,false,0.4,false
2011-03-10T02:21:00+09:00,7.3,90,6.9,false,16.2,false,0.4,false
2011-03-10T02:22:00+09:00,7.3,90,6.9,false,16.2,false,0.4,false
2011-03-10T02:23:00+09:00,7.3,90,6.9,false,16.1,false,0.2,false
2011-03-10T02:24:00+09:00,7.3,90,6.9,false,16.0,false,0.2,false
2011-03-10T02:25:00+09:00,7.2,90,6.9,false,16.0,false,0.1,false
2011-03-10T02:26:00+09:00,7.2,90,6.9,false,15.9,false,0.0,false
2011-03-10T02:27:00+09:00,7.2,90,6.9,false,15.9,false,0.0,false
2011-03-10T02:28:00+09:00,7.2,90,6.9,false,15.9,false,0.0,false
2011-03-10T02:29:00+09:00,7.2,90,6.9,false,15.8,false,0.0,false
2011-03-10T02:30:00+09:00,7.1,90,6.9,false,15.8,false,0.0,false
2011-03-10T02:31:00+09:00,7.1,90,6.9,false,15.7,false,0.0,false
2011-03-10T02:32:00+09:00,7.1,90,6.9,false,15.7,false,0.0,false
2011-03-10T02:33:00+09:00,7.1,90,6.9,false,15.7,false,0.0,false
2011-03-10T02:34:00+09:00,7.0,89,6.9,false,15.7,false,0.0,false
2011-03-10T02:35:00+09:00,7.0,89,6.9,false,15.6,false,-0.1,false
2011-03-10T02:36:00+09:00,7.0,89,6.9,false,15.6,false,-0.1,false
2011-03-10T02:37:00+09:00,7.0,89,6.9,false,15.5,false,-0.2,false
2011-03-10T02:38:00+09:00,7.0,89,6.8,false,15.5,false,-0.2,false
2011-03-10T02:39:00+09:00,6.9,89,6.8,false,15.5,false,-0.1,false
2011-03-10T02:40:00+09:00,6.8,90,6.8,false,15.4,false,0.0,false
2011-03-10T02:41:00+09:00,6.8,90,6.8,false,15.4,false,-0.2,false
2011-03-10T02:42:00+09:00,6.8,90,6.8,false,15.3,false,-0.3,false
2011-03-10T02:43:00+09:00,6.8,90,6.7,false,15.3,false,-0.3,false
2011-03-10T02:44:00+09:00,6.8,90,6.7,false,15.3,false,-0.3,false
2011-03-10T02:45:00+09:00,6.8,90,6.7,false,15.2,false,-0.3,false
2011-03-10T02:46:00+09:00,6.8,90,6.6,false,15.2,false,-0.3,false
2011-03-10T02:47:00+09:00,6.7,90,6.6,false,15.2,false,-0.3,false
2011-03-10T02:48:00+09:00,6.7,90,6.6,false,15.2,false,-0.4,false
2011-03-10T02:49:00+09:00,6.6,90,6.5,false,15.1,false,-0.6,false
2011-03-10T02:50:00+09:00,6.6,90,6.5,false,15.1,false,-0.6,false
2011-03-10T02:51:00+09:00,6.6,89,6.5,false,15.0,false,-0.5,false
2011-03-10T02:52:00+09:00,6.5,89,6.5,false,15.0,false,-0.4,false
2011-03-10T02:53:00+09:00,6.5,89,6.5,false,15.0,false,-0.4,false
2011-03-10T02:54:00+09:00,6.5,89,6.5,false,15.0,false,-0.4,false
2011-03-10T02:55:00+09:00,6.4,90,6.5,false,15.0,false,-0.5,false
2011-03-10T02:56:00+09:00,6.4,90,6.5,false,15.0,false,-0.4,false
2011-03-10T02:57:00+09:00,6.4,90,6.4,false,15.1,false,-0.3,false
2011-03-10T02:58:00+09:00,6.4,90,6.4,false,15.1,false,-0.3,false
2011-03-10T02:59:00+09:00,6.4,90,6.4,false,15.2,false,-0.3,false
2011-03-10T03:00:00+09:00,6.4,90,6.4,false,15.2,false,-0.2,false
2011-03-10T03:01:00+09:00,6.3,90,6.4,false,15.2,false,-0.1,false
2011-03-10T03:02:00+09:00,6.3,90,6.4,false,15.2,false,-0.2,false
2011-03-10T03:03:00+09:00,6.4,90,6.4,false,15.3,false,-0.1,false
